Name,Preferred Position,Club,Age,Overall
F. Ladapo,ST,Crystal Palace,24,62
L. Kryger,ST,AC Horsens,34,62
M. Piątkowski,ST,Wisła Płock,32,62
J. Villalba,ST,Borussia Mönchengladbach,18,62
S. Ibrahim,ST,FK Haugesund,20,62
S. Jovanović,ST,Córdoba CF,25,62
T. Eaves,ST,Gillingham,25,62
Erik Expósito,ST,UD Las Palmas,21,62
J. Mlakar,ST,F.B.C. Unione Venezia,18,62
G. Hirst,ST,Sheffield Wednesday,18,62
Moha,ST,Cádiz C.F.,22,62
J. Báez,ST,Pescara,22,62
R. Contreras,ST,Arsenal de Sarandí,21,62
D. Holman,ST,Cheltenham Town,27,62
M. Nzola,ST,Carpi,20,62
Gerardo Jiménez,ST,Envigado FC,29,62
Bae Cheon Seok,ST,Jeonnam Dragons,27,62
R. Healey,ST,Cardiff City,22,62
A. Nabi,ST,Peterborough United,23,62
B. Rubio,ST,Tigres U.A.N.L.,20,62
A. Tveter,ST,Halmstads BK,26,62
D. Orgill,ST,Wolfsberger AC,27,62
J. Spencer,ST,Mansfield Town,25,62
C. Ngu'Ewodo,ST,Hansa Rostock,21,62
S. Vuk,ST,Tromsø IL,27,62
A. Kawamoto,ST,Ventforet Kofu,27,62
M. Dembélé,ST,AS Nancy Lorraine,20,62
D. Faupala,ST,Manchester City,20,62
F. Mussa,ST,CD Tenerife,21,62
P. Hellquist,ST,Kalmar FF,26,62
N. Hunt,ST,Wigan Athletic,34,62
J. Stead,ST,Notts County,34,62
D. Caddy,ST,US Quevilly-Rouen,22,62
D. Opazo,ST,Newell's Old Boys,20,62
S. Odelusi,ST,Colchester United,24,62
Steven Prieto,ST,Real Oviedo,19,62
M. Heider,ST,VfL Osnabrück,31,62
A. Pinamonti,ST,Inter,18,62
Arribas,ST,AD Alcorcón,18,62
C. Porter,ST,Crewe Alexandra,33,62
J. Marriott,ST,Peterborough United,22,62
T. Walker,ST,Nottingham Forest,20,62
E. Apeh,ST,Lorca Deportiva CF,20,62
M. Boulahia,ST,Atlético Madrid,20,62
W. Louisy-Daniel,ST,Bourg en Bresse Péronnas 01,31,62
C. Duffus,ST,Oldham Athletic,21,62
S. Blancas,ST,Tigres FC,29,62
T. Verheydt,ST,Crawley Town,25,62
E. Soleri,ST,La Spezia,19,62
J. Quigley,ST,Newport County,20,62
S. Al Shehri,ST,Al Raed,23,62
S. Schimmer,ST,SpVgg Unterhaching,23,62
A. Polidori,ST,Vercelli,25,62
M. Pink,ST,SV Mattersburg,26,62
D. Vente,ST,Feyenoord,18,62
O. Karlsson,ST,Molde FK,20,62
M. Simon,ST,Sydney FC,31,62
P. Magnín,ST,San Martín de San Juan,27,62
F. Olsson,ST,Jönköpings Södra IF,32,62
M. Diallo,ST,KAS Eupen,26,62
G. Cummins,ST,St. Johnstone FC,29,62
A. Lassiter,ST,LA Galaxy,22,62
J. Cook,ST,Luton Town,27,62
R. Brunt,ST,Exeter City,24,62
Lee Hyo Gyun,ST,Incheon United FC,29,62
F. Vietto,ST,Racing Club de Avellaneda,19,62
J. Matt,ST,Grimsby Town,27,62
N. Venema,ST,FC Utrecht,18,62
J. Yates,ST,Rotherham United,20,62
K. Sigurðsson,ST,GIF Sundsvall,25,62
E. Gliozzi,ST,Cesena,21,62
N. Blissett,ST,Plymouth Argyle,27,62
D. Widemann,ST,1. FC Heidenheim,20,62
D. Philliskirk,ST,Blackpool,26,62
R. Palermo,ST,Arsenal de Sarandí,20,62
N. Julan,ST,Le Havre AC,20,62
M. Torres,ST,Talleres de Cordoba,19,62
T. Mikkelsen,ST,Ross County FC,27,62
Y. Minagawa,ST,Sanfrecce Hiroshima,25,62
J. Mateta,ST,Le Havre AC,20,62
S. Murray,ST,Hibernian,25,62
F. Núñez,ST,Godoy Cruz,21,62
T. Hopper,ST,Scunthorpe United,23,62
Jeon Hyeon Chul,ST,Daegu FC,26,62
M. Bundu,ST,Aarhus GF,20,62
F. Falcone,ST,CD Aves,27,62
A. Dávila,ST,Real Sociedad,18,62
Y. Njie,ST,Boavista FC,23,62
K. Kitagawa,ST,Shimizu S-Pulse,20,62
Kim Dae Won,ST,Daegu FC,20,63
C. González,ST,Club León,25,63
M. Owusu,ST,Hansa Rostock,22,63
D. Arshakyan,ST,Chicago Fire Soccer Club,22,63
O. Zawada,ST,Karlsruher SC,21,63
M. Romero,ST,Vélez Sarsfield,18,63
W. Tchuameni,ST,SønderjyskE,20,63
J. Ibehre,ST,Cambridge United,34,63
F. Eisele,ST,FSV Zwickau,22,63
M. Topčagić,ST,Wolfsberger AC,29,63
Jo Ju Young,ST,GwangJu FC,23,63
M. Vatsadze,ST,Silkeborg IF,28,63
J. Arp,ST,Hamburger SV,17,63
J. Asoro,ST,Sunderland,18,63
G. Ugwu,ST,Chesterfield,24,63
L. Ajorque,ST,Clermont Foot 63,23,63
B. Fernández,ST,Corporación Club Deportivo Tuluá,25,63
Y. Mbombo,ST,Royal Excel Mouscron,23,63
A. Leitch-Smith,ST,Dundee FC,27,63
L. James,ST,Forest Green,22,63
P. Safranko,ST,Aalborg BK,22,63
E. Doyle,ST,Oldham Athletic,29,63
J. Aigner,ST,SCR Altach,36,63
K. Guthrie,ST,Colchester United,24,63
J. Hanson,ST,Sheffield United,29,63
K. van der Biezen,ST,SC Paderborn 07,31,63
I. Hagi,ST,Fiorentina,18,63
T. Amang,ST,Molde FK,19,63
T. Barnett,ST,Port Vale,31,63
E. Strahman,ST,Bahía Blanca,28,63
M. Korzym,ST,Sandecja Nowy Sącz,29,63
M. Tchokounté,ST,Paris FC,28,63
O. Mannéh,ST,Werder Bremen II,20,63
S. Prokofyev,ST,Amkar Perm,30,63
Q. Depehi,ST,En Avant de Guingamp,20,63
K. Vassell,ST,Blackpool,24,63
B. Stokke,ST,Kristiansund BK,26,63
H. Al Ghaddioui,ST,Sportfreunde Lotte,26,63
M. Léris,ST,Chievo Verona,19,63
M. Godden,ST,Stevenage,25,63
D. Chima Chukwu,ST,Legia Warszawa,26,63
E. Harrison,ST,Bristol Rovers,23,63
Pedro Neto,ST,Lazio,17,63
Escriche,ST,CD Lugo,19,63
M. Haber,ST,Dundee FC,28,63
J. Vancamp,ST,Roda JC Kerkrade,18,63
M. Lebedyński,ST,Wisła Płock,26,63
L. Jallow,ST,Cesena,22,63
D. Skhirtladze,ST,Silkeborg IF,24,63
P. Cappelluzzo,ST,Pescara,21,63
B. Miranda,ST,D.C. United,19,63
O. Ademi,ST,Würzburger FV,25,63
C. Harold,ST,Perth Glory,24,63
P. Slišković,ST,Hallescher FC,26,63
T. Agdestein,ST,Odds BK,25,63
A. Kaluđerović,ST,Wellington Phoenix,29,63
M. Quiroga,ST,Argentinos Juniors,27,63
E. Umeres,ST,Estudiantes de La Plata,21,63
C. Wyke,ST,Bradford City,24,63
G. Nilsson,ST,Silkeborg IF,20,63
A. Claude-Maurice,ST,FC Lorient,19,63
Mario González,ST,Villarreal CF,21,63
U. Bozok,ST,Nîmes Olympique,20,63
L. McAlinden,ST,Exeter City,23,63
J. Cádiz,ST,Moreirense FC,21,63
R. Lowe,ST,Bury,38,63
D. Bamba,ST,Kristiansund BK,22,63
M. Guezoui,ST,Valenciennes FC,28,63
P. Forsell,ST,Örebro SK,26,63
O. Tounkara,ST,La Berrichonne de Châteauroux,27,63
C. Gameiro,ST,Brisbane Roar,24,63
K. Nsor,ST,Moreirense FC,24,63
K. Shelton,ST,New York City Football Club,24,63
G. Thomas,ST,Leicester City,20,63
T. Warschewski,ST,SC Preußen Münster,19,63
J. McBean,ST,LA Galaxy,22,63
W. Kanga,ST,Angers SCO,19,63
N. Kacharava,ST,Korona Kielce,23,63
F. Coniglio,ST,Club Atlético Huracán,25,63
L. Díaz,ST,Tiburones Rojos de Veracruz,25,63
S. Almirón,ST,Atlético Huila,31,63
P. Cowan-Hall,ST,Wycombe Wanderers,26,63
S. McTominay,ST,Manchester United,20,63
S. Miller,ST,Carlisle United,29,63
Sergio Sánchez,ST,SD Huesca,21,63
J. Oosterwijk,ST,FC Twente,22,63
S. Smeltz,ST,,35,63
I. Niane,ST,FC Metz,18,63
O. McBurnie,ST,Swansea City,21,63
C. Wilkinson,ST,Gillingham,22,63
M. Tumminello,ST,Crotone,18,63
G. Del Castillo,ST,Arsenal de Sarandí,20,63
J. Lloreda,ST,Deportes Tolima,22,63
N. Balogh,ST,Palermo,21,63
M. Green,ST,Lincoln City,30,63
R. Seager,ST,Milton Keynes Dons,21,63
Y. Teijsse,ST,Dundee FC,24,63
K. Dennis,ST,Chesterfield,27,63
J. Schwadorf,ST,SV Wehen Wiesbaden,24,63
B. Graham,ST,Cheltenham Town,29,63
J. Romil,ST,Valenciennes FC,22,63
P. Dolgov,ST,FC Anzhi Makhachkala,20,63
G. Perrin,ST,US Orléans Loiret Football,21,63
S. Adamyan,ST, SSV Jahn Regensburg,24,63
F. Bonazzoli,ST,Ferrara (SPAL),20,63
C. Mackail-Smith,ST,Wycombe Wanderers,33,63
S. Sakala,ST,Al Fateh,20,63
L. John-Lewis,ST,Shrewsbury,28,63
I. Shekiladze,ST,La Spezia,24,63
G. Müller,ST,1. FC Magdeburg,33,63
Barbosa,ST,Ferrara (SPAL),18,63
A. Gnanduillet,ST,Blackpool,25,63
D. Wheeler,ST,Queens Park Rangers,26,64
Claudio,ST,Real Sporting de Gijón,23,64
F. Pick,ST,1. FC Magdeburg,21,64
M. Kean,ST,Hellas Verona,17,64
T. Awoniyi,ST,Royal Excel Mouscron,19,64
R. Koryan,ST,FC SKA-Energiya Khabarovsk,29,64
N. Messiniti,ST,San Martín de San Juan,21,64
Douglas Tanque,ST,Albirex Niigata,23,64
M. Benítez,ST,Guadalajara,21,64
M. Janzer,ST,Holstein Kiel,25,64
M. Tall,ST,Tours FC,21,64
O. Jallow,ST,HJK Helsinki,28,64
C. Davies,ST,Oldham Athletic,31,64
A. Sevinç,ST,Trabzonspor,18,64
K. Junker,ST,Aarhus GF,23,64
J. Clarke-Harris,ST,Rotherham United,22,64
P. Etshimi,ST,Paris FC,28,64
C. Peralta,ST,La Equidad,27,64
M. George,ST,Lyngby BK,23,64
J. Bowen,ST,Hull City,20,64
A. Gouiri,ST,Olympique Lyonnais,17,64
D. Sorgić,ST,FC Thun,27,64
G. Massey,ST,Wigan Athletic,24,64
J. Lescano,ST,FC Anzhi Makhachkala,24,64
P. Pogrebnyak,ST,Dinamo Moscow,33,64
T. Obadeyi,ST,Oldham Athletic,27,64
Adão Renteira,ST,Vitória ,25,64
A. Mabil,ST,FC Paços de Ferreira,21,64
C. Togashi,ST,Yokohama F. Marinos,23,64
P. Engblom,ST,Strømsgodset IF,25,64
L. Ralte,ST,,24,64
S. Thioub,ST,Nîmes Olympique,22,64
R. Steer,ST,Jaguares Fútbol Club,35,64
J. Arias,ST,Talleres de Cordoba,24,64
J. Düker,ST,1. FC Magdeburg,21,64
J. Akinde,ST,Barnet,27,64
A. Piu,ST,Empoli,20,64
S. Silva,ST,CD America de Cali,26,64
M. Bakenga,ST,Tromsø IL,24,64
B. Rosinger,ST,Sportfreunde Lotte,27,64
L. Memela,ST,Orlando Pirates,29,64
F. Onyedinma,ST,Millwall,20,64
J. Núñez,ST,Deportivo Pasto,31,64
F. Nicastro,ST,Foggia,25,64
S. Ameobi,ST,Notts County,35,64
M. Ziemer,ST,Hansa Rostock,31,64
I. Vassell,ST,Birmingham City,23,64
A. Escoto,ST,Lobos de la BUAP,24,64
T. Tomiyama,ST,Albirex Niigata,26,64
Luís Leal,ST,Newell's Old Boys,30,64
C. Bieber,ST,Rot-Weiß Erfurt,27,64
P. Prosenik,ST,SK Rapid Wien,24,64
Song Seung Min,ST,GwangJu FC,25,64
J. Bowery,ST,Crewe Alexandra,25,64
A. Seydel,ST,Holstein Kiel,21,64
C. Morra,ST,Vercelli,22,64
R. Mmaee,ST,Waasland-Beveren,20,64
J. McInerney,ST,LA Galaxy,24,64
A. Wilbraham,ST,Bolton Wanderers,37,64
P. Tuszyński,ST,Zagłębie Lubin,27,64
Pak Kwang Ryong,ST,SKN St. Pölten,24,64
A. Gero,ST,Östersunds FK,23,64
J. Sylvestr,ST,Aalborg BK,28,64
M. Boyle,ST,Hibernian,24,64
T. Thiele,ST,FC Carl Zeiss Jena,25,64
D. Agyei,ST,Walsall,20,64
C. Nwakali,ST,Sogndal,20,64
A. Akinfenwa,ST,Wycombe Wanderers,35,64
M. Quiroga,ST,Club Atlético Patronato,31,64
J. Mehl,ST,AC Horsens,30,64
L. Hallenius,ST,GIF Sundsvall,28,64
M. Königs,ST,Würzburger FV,27,64
U. Ikpeazu,ST,Cambridge United,22,64
T. Zhamaletdinov,ST,CSKA Moscow,20,64
L. Chacana,ST,Club Atlético Tigre,24,64
K. Achahbar,ST,En Avant de Guingamp,21,64
Cho Dong Gun,ST,Sagan Tosu,31,64
A. Bakayoko,ST,Walsall,21,64
I. Buckley-Ricketts,ST,FC Twente,19,64
J. Barišić,ST,Piast Gliwice,30,64
D. Eckert,ST,RC Celta de Vigo,20,64
K. Ojo,ST,Lyngby BK,28,64
M. Duke,ST,Shimizu S-Pulse,26,64
L. Putaro,ST,DSC Arminia Bielefeld,20,64
Y. Merdji,ST,Bourg en Bresse Péronnas 01,23,64
E. Mjelde,ST,Sandefjord Fotball,33,64
F. Fydriszewski,ST,CD Lugo,24,64
L. Erwin,ST,Kilmarnock,23,64
C. Amissi,ST,Al Taawoun,27,64
Mario Barco,ST,CD Lugo,24,64
R. Glatzel,ST,1. FC Heidenheim,23,64
A. Lookman,ST,Everton,19,64
I. Abdullahi,ST,FK Austria Wien,20,64
M. Papadopulos,ST,Piast Gliwice,32,64
A. Jahn,ST,Columbus Crew SC,26,64
J. Manconi,ST,Carpi,23,64
E. García,ST,Belgrano de Córdoba,24,64
F. Forte,ST,La Spezia,24,64
F. Brown Forbes,ST,Amkar Perm,25,64
J. Kaprof,ST,Defensa y Justicia,22,64
B. Śpiączka,ST,Termalica Bruk-Bet Nieciecza,25,64
K. Bazelyuk,ST,FC Anzhi Makhachkala,24,64
A. Buksa,ST,Zagłębie Lubin,20,64
S. Jackson,ST,Walsall,30,64
A. Gordon,ST,Colorado Rapids,35,64
S. Córdova,ST,FC Augsburg,19,64
D. Elm,ST,Kalmar FF,34,64
K. Mensah,ST,Brøndby IF,26,64
P. Bürger,ST,SV Mattersburg,30,64
J. Sánchez Sotelo,ST,Temperley,29,64
E. Velikonja,ST,Willem II,28,64
H. Abranchezo,ST,Curicó Unido,25,64
D. Oduro,ST,Montreal Impact,31,64
D. Moberg Karlsson,ST,IFK Norrköping,23,64
M. Wegner,ST,Sportfreunde Lotte,28,64
G. Scamacca,ST,Sassuolo,18,64
C. McDonald,ST,AFC Wimbledon,31,64
H. Al Juhayyim,ST,Al Fateh,29,64
Héctor,ST,Albacete Balompié,21,64
R. Gaffney,ST,Bristol Rovers,27,64
C. Morris,ST,Shrewsbury,21,64
M. López,ST,Envigado FC,20,64
Y. Al Qahtani,ST,Al Hilal,34,64
E. Ómarsson,ST,IFK Göteborg,22,64
C. Ekuban,ST,Leeds United,23,64
J. Niezgoda,ST,Legia Warszawa,22,64
Dalmau,ST,Villarreal CF,23,64
I. Abdulavov,ST,FC Ufa,23,64
F. Anselmo,ST,Argentinos Juniors,23,64
D. Matulevičius,ST,Hibernian,28,64
A. Jones,ST,Bradford City,22,64
C. Akpom,ST,Arsenal,21,64
S. Romero,ST,Atlético Bucaramanga,28,64
I. Ignatiev,ST,FC Krasnodar,18,64
A. Williams,ST,Doncaster Rovers,30,64
T. Steinherr,ST,SpVgg Unterhaching,24,64
J. Orlov,ST,SK Brann,31,65
B. Figueroa,ST,U.N.A.M.,18,65
P. Sohm,ST,SG Sonnenhof Großaspach,25,65
S. Maierhofer,ST,SV Mattersburg,34,65
H. Bjørdal,ST,Brighton & Hove Albion,20,65
N. Dibble,ST,Gimnasia y Esgrima La Plata,20,65
L. Strizzolo,ST,Cittadella,25,65
F. Doré,ST,Clermont Foot 63,28,65
A. Rossi,ST,Salernitana,20,65
H. Savran,ST,VfL Osnabrück,32,65
L. Pérez,ST,Ascoli,27,65
L. Blessing,ST,Sporting Kansas City,20,65
J. Cox,ST,Envigado FC,23,65
J. Amoroso,ST,Newell's Old Boys,29,65
A. Kamara,ST,Al Taawoun,23,65
V. Osimhen,ST,VfL Wolfsburg,18,65
G. De Feo,ST,Ascoli,23,65
R. Bayard,ST,Tours FC,23,65
L. Röser,ST,SG Dynamo Dresden,23,65
D. Jiménez,ST,Lobos de la BUAP,28,65
D. Mangni,ST,Atalanta,24,65
Evandro,ST,Daegu FC,29,65
P. Taylor,ST,Bradford City,29,65
C. Curran,ST,Ross County FC,27,65
M. Finotto,ST,Ternana,24,65
E. Bajrami,ST,IF Elfsborg,29,65
T. Elliott,ST,Millwall,26,65
R. O'Donovan,ST,Newcastle Jets,31,65
S. Silva,ST,Palermo,27,65
F. Acosta,ST,Villarreal CF,21,65
D. Mendoza,ST,Club Atlético Huracán,24,65
S. Sané,ST,SG Sonnenhof Großaspach,24,65
O. Bogle,ST,Cardiff City,23,65
O. Gaona Lugo,ST,Bahía Blanca,26,65
I. Toney,ST,Wigan Athletic,21,65
P. Rojas,ST,Jaguares Fútbol Club,25,65
T. Pope,ST,Port Vale,31,65
L. Nilsson,ST,IF Elfsborg,35,65
M. Asenjo,ST,Banfield,22,65
C. Amaya,ST,Asociacion Deportivo Cali,26,65
José Kanté,ST,Wisła Płock,26,65
M. Richards,ST,Northampton Town,34,65
M. Sansores,ST,Monarcas Morelia,26,65
S. Sawadogo,ST,La Berrichonne de Châteauroux,24,65
N. Dumitru,ST,AD Alcorcón,25,65
C. Andriamahitsinoro,ST,Ohod Club,27,65
F. Lohkemper,ST,1. FC Magdeburg,22,65
S. Clémence,ST,Tours FC,29,65
C. Fagan,ST,St. Patrick's Athletic,28,65
S. Okoli,ST,New York City Football Club,24,65
C. Woodrow,ST,Bristol City,22,65
J. Hamilton,ST,Toronto FC,21,65
F. Ortíz,ST,Monarcas Morelia,24,65
B. Johnsen,ST,ADO Den Haag,25,65
F. Børsting,ST,Aalborg BK,22,65
J. Grant,ST,Plymouth Argyle,29,65
J. Hinestroza,ST,Tigres FC,21,65
K. Appiah,ST,AFC Wimbledon,26,65
V. Ilyin,ST,FC Ural,23,65
L. Grozurek,ST,FC Admira Wacker Mödling,25,65
S. Akasaki,ST,Gamba Osaka,25,65
Jo Young Cheol,ST,Sangju Sangmu FC,28,65
R. Salinas,ST,Ettifaq FC,31,65
E. Sarraj,ST,Al Faisaly,27,65
S. Benyamina,ST,Hansa Rostock,27,65
D. McMillan,ST,Dundalk,28,65
D. Albadoro,ST,Ternana,28,65
Y. Hasegawa,ST,Shimizu S-Pulse,29,65
Alex Pozo,ST,Sevilla Atlético,18,65
A. Revell,ST,Northampton Town,33,65
R. König,ST,FSV Zwickau,34,65
N. Đurđić,ST,Randers FC,31,65
E. Álvarez,ST,CD Once Caldas Manizales,28,65
C. Long,ST,Northampton Town,22,65
T. Rühle,ST,SC Preußen Münster,26,65
D. Volaš,ST,Sparta Rotterdam,30,65
L. Neagle,ST,Seattle Sounders FC,30,65
M. Altıntaş,ST,Evkur Yeni Malatyaspor,21,65
J. Oremo,ST,Halmstads BK,30,65
M. Tounkara,ST,Lazio,21,65
J. Caenepeel,ST,Excelsior,20,65
O. Eddahri,ST,AFC Eskilstuna,26,65
C. Bassogog,ST,,21,65
D. Marsura,ST,F.B.C. Unione Venezia,23,65
S. Deliktaş,ST,Kardemir Karabükspor,30,65
A. Díaz,ST,Club América,21,65
K. Finnbogason,ST,AC Horsens,30,65
D. Rose,ST,Mansfield Town,23,65
W. Jordán,ST,Grupo Desportivo de Chaves,26,65
M. Ogbu,ST,IK Sirius,26,65
J. Bolingi,ST,Royal Excel Mouscron,23,65
F. Soldano,ST,Unión de Santa Fe,22,65
A. Balboa,ST,Club Atlético Patronato,23,65
S. Dražić,ST,KV Mechelen,24,65
M. Mohsen,ST,,28,65
C. Chaplin,ST,Portsmouth,20,65
S. Maguire,ST,Preston North End,23,65
C. Valoyes,ST,Patriotas Boyacá FC,33,65
A. Arrighini,ST,Cittadella,27,65
K. Naismith,ST,Portsmouth,25,65
Barros,ST,Ventforet Kofu,24,65
F. Rašić,ST,Arsenal Tula,25,65
I. Azemi,ST,Holstein Kiel,25,65
A. Pavlović,ST,FC København,23,65
K. Guédé,ST,SC Freiburg,32,65
R. Bocalon,ST,Salernitana,28,65
R. Riski,ST,SKN St. Pölten,25,65
L. Clarke,ST,Sheffield United,32,65
I. Ouédraogo,ST,Wolfsberger AC,28,65
E. Güral,ST,Antalyaspor,28,65
P. Cutrone,ST,Milan,19,65
B. Kee,ST,Accrington Stanley,26,65
R. Reid,ST,Exeter City,28,65
J. Proctor,ST,Rotherham United,25,65
G. Melkadze,ST,FC Tosno,20,65
J. Świerczok,ST,Zagłębie Lubin,24,65
F. Margiotta,ST,FC Lausanne-Sports,23,65
Romário,ST,Kalmar FF,24,65
R. Koch,ST,FSV Zwickau,31,65
E. Markov,ST,FC Tosno,22,65
R. Taylor,ST,Plymouth Argyle,29,65
J. Kjær,ST,Lyngby BK,31,65
Everton,ST,CS Marítimo,23,65
P. Mullins,ST,D.C. United,25,65
Alex,ST,Silkeborg IF,26,65
E. Keleş,ST,Medicana Sivasspor,30,65
João Pedro,ST,Al Fateh,24,65
A. Schalk,ST,Ross County FC,24,65
D. Milović,ST,Amkar Perm,23,65
D. Davydov,ST,Spartak Moscow,22,65
A. Panyukov,ST,Zenit St. Petersburg,22,65
S. Maholli,ST,IK Sirius,24,65
Aridane,ST,Albacete Balompié,30,65
A. Papazoglou,ST,Aalesunds FK,29,66
R. Riski,ST,Odds BK,27,66
C. Monschein,ST,FK Austria Wien,24,66
W. Owusu,ST,Royal Antwerp FC,27,66
F. Boli,ST,Stabæk Fotball,23,66
R. Vloet,ST,NAC Breda,22,66
R. Lentini,ST,Bahía Blanca,28,66
Ricardo Santos,ST,Cerezo Osaka,30,66
M. Ranégie,ST,BK Häcken,33,66
K. Tokura,ST,Hokkaido Consadole Sapporo,31,66
T. Sana,ST,Aarhus GF,27,66
J. Magennis,ST,Charlton Athletic,26,66
J. Eggestein,ST,SV Werder Bremen,19,66
Q. Boisgard,ST,Toulouse FC,20,66
Luis Marleiro,ST,Vitória ,25,66
A. Jeremejeff,ST,Malmö FF,23,66
A. Favilli,ST,Ascoli,20,66
L. Thürauer,ST,SKN St. Pölten,29,66
R. Feczesin,ST,Jeonnam Dragons,31,66
A. Sadiku,ST,Legia Warszawa,26,66
C. Washington,ST,Queens Park Rangers,25,66
E. Torregrossa,ST,Brescia,25,66
A. Engin,ST,MSV Duisburg,20,66
S. Church,ST,,28,66
N. Brock-Madsen,ST,Birmingham City,24,66
A. Piech,ST,Śląsk Wrocław,32,66
T. Lee,ST,Urawa Red Diamonds,31,66
D. López,ST,Jaguares Fútbol Club,25,66
Leandrinho,ST,Medicana Sivasspor,31,66
B. Jayiya,ST,Kaizer Chiefs,27,66
A. Þrándarson,ST,Aalesunds FK,22,66
C. Gazale,ST,Santiago Wanderers,25,66
R. Cisneros,ST,Santos Laguna,20,66
Sergi Guardiola,ST,Córdoba CF,26,66
Y. Baraye,ST,Parma,25,66
M. Könnecke,ST,FSV Zwickau,28,66
M. Fortuné,ST,Southend United,35,66
K. Taketomi,ST,Kashiwa Reysol,26,66
T. Gabuza,ST,Orlando Pirates,29,66
Luisinho,ST,Al Faisaly,26,66
K. Kawamata,ST,Júbilo Iwata,27,66
C. Davies,ST,Philadelphia Union,31,66
N. Trujic,ST,FC Tosno,25,66
Kim Gun Hee,ST,Suwon Samsung Bluewings,22,66
J. Obika,ST,Oxford United,26,66
A. O'Brien,ST,Millwall,23,66
M. Boman,ST,IFK Göteborg,28,66
João Silva,ST,CD Feirense,27,66
C. O'Grady,ST,Chesterfield,31,66
M. Dembélé,ST,Le Havre AC,28,66
A. Sebrino,ST,CD Palestino,25,66
A. Gomis,ST,US Orléans Loiret Football,25,66
M. Çelik,ST,Akhisar Belediyespor,27,66
R. Gartler,ST,LASK Linz,31,66
P. Türpitz,ST,1. FC Magdeburg,25,66
M. Guevgeozián,ST,Newell's Old Boys,31,66
L. Sekulski,ST,Jagiellonia Białystok,26,66
T. Vion,ST,Chamois Niortais FC,23,66
M. Mustacchio,ST,Perugia,28,66
E. Butin,ST,Stade Brestois 29,29,66
Diego Maurício,ST,Gangwon FC,26,66
O. Arce,ST,Necaxa,27,66
L. Ngwat Mahop,ST,SCR Altach,29,66
R. Fernández,ST,Al Fayha,26,66
K. Moore,ST,Rotherham United,24,66
I. Tajouri,ST,FK Austria Wien,23,66
J. Marquis,ST,Doncaster Rovers,25,66
M. Uhre,ST,SønderjyskE,22,66
A. Riel,ST,Aarhus GF,26,66
L. Zwoliński,ST,Pogoń Szczecin,24,66
K. Holmberg,ST,IFK Norrköping,24,66
P. Dibba,ST,Hammarby IF,29,66
K. Doolan,ST,Partick Thistle F.C.,30,66
L. Escalante,ST,CPD Junior Barranquilla,25,66
Amido Baldé,ST,CS Marítimo,26,66
A. Nuhiu,ST,Sheffield Wednesday,27,66
E. Markkanen,ST,SG Dynamo Dresden,25,66
C. Nöthe,ST,DSC Arminia Bielefeld,29,66
H. Vučkić,ST,FC Twente,24,66
A. Vega,ST,Deportivo Toluca,19,66
R. Dwamena,ST,FC Zürich,21,66
J. Barraza,ST,Club Atlas,26,66
T. Ricketts,ST,Toronto FC,29,66
M. Rolón,ST,Arsenal de Sarandí,22,66
B. Santalab,ST,Western Sydney Wanderers,34,66
M. Mirić,ST,Sporting Lokeren,30,66
A. Dona Ndoh,ST,Chamois Niortais FC,31,66
N. Adler,ST,FC Erzgebirge Aue,32,66
A. Smárason,ST,Hammarby IF,28,66
M. Bolly,ST,SpVgg Greuther Fürth,26,66
A. La Mantia,ST,Virtus Entella,26,66
J. Mendy,ST,Kristiansund BK,27,66
M. Abu Radiyah,ST,Al Ahli,30,66
A. Prudnikov,ST,FC Anzhi Makhachkala,28,66
M. van Duinen,ST,Excelsior,25,66
M. Tagbajumi,ST,Lillestrøm SK,29,66
N. Stefanelli,ST,AIK Solna,23,66
D. Gustavsson,ST,IF Elfsborg,26,66
J. Hopcutt,ST,Östersunds FK,25,66
S. Scappini,ST,Cremonese,29,66
P. Zulechner,ST,SK Sturm Graz,27,66
A. Navarro,ST,Puebla,32,66
João Vasco,ST,Tondela,22,66
J. Jervis,ST,Plymouth Argyle,25,66
B. Grant,ST,Fleetwood Town,27,66
K. van Veen,ST,Scunthorpe United,26,66
Y. Mena,ST,Alianza Petrolera,25,66
D. Schahin,ST,Roda JC Kerkrade,27,66
K. Mayi,ST,Stade Brestois 29,24,66
M. Starke,ST,FC Carl Zeiss Jena,26,66
M. Figueroa,ST,Temperley,27,66
T. Børven,ST,SK Brann,25,66
Heo Young Joon,ST,Jeonnam Dragons,24,66
N. Quaschner,ST,DSC Arminia Bielefeld,23,66
P. Madden,ST,Scunthorpe United,27,66
M. Axente,ST,Al Faisaly,30,66
J. Ardaiz,ST,Royal Antwerp FC,18,66
B. Finne,ST,Vålerenga Fotball,22,66
J. Quiñones,ST,Lobos de la BUAP,20,66
B. Ibini,ST,Vancouver Whitecaps FC,24,66
A. Awaji,ST,Al Ahli,27,66
B. Gueye,ST,Sint-Truidense VV,22,66
B. Girth,ST,SV Meppen,25,66
M. Maolida,ST,Olympique Lyonnais,18,66
Benny,ST,CF Os Belenenses,20,66
Y. Al Salem,ST,Ettifaq FC,32,66
P. Brożek,ST,Wisła Kraków,34,66
A. Wiegel,ST,MSV Duisburg,25,66
K. Anderson,ST,Swindon Town,22,66
L. Taylor,ST,AFC Wimbledon,27,66
